Valence,Arousal,Expression
0.611223,-0.00871253,1
0.6427223,-0.007216692,1
0.5616579,0.08281121,1
0.6081703,0.023815483,1
0.677881,0.01550135,1
0.7146871,0.008200526,1
0.65279317,0.013247639,1
0.62806654,0.035718143,1
0.64430034,0.006929815,1
0.663522,-0.012076467,1
0.6103797,0.032995433,1
0.6538137,0.012394041,1
0.67247653,-0.023120344,1
0.60303485,-0.0046801567,1
0.6933644,0.044633836,1
0.72445434,0.006687641,1
0.6751133,0.05804324,1
0.6813073,-0.0015618503,1
0.6385994,-0.013664246,1
0.6345576,0.085838884,1
0.5984405,-0.0052824914,1
0.59830344,0.025791675,1
0.5482479,0.014111817,1
0.45659947,0.080886185,1
0.58302474,-0.020444483,1
0.51037854,0.011273444,1
0.58416754,0.021558434,1
0.5596199,-0.016138732,1
0.5271547,0.007872134,1
0.570256,-0.013633281,1
0.59128064,-0.00037446618,1
0.6498461,-0.029778183,1
0.60640574,0.011494398,1
0.6569794,-0.014551848,1
0.6296102,-0.04835829,1
0.65053433,-0.020477355,1
0.58595836,-0.01305142,1
0.6290713,-0.03212267,1
0.63683534,0.021023989,1
0.63002324,-0.026272297,1
0.62580895,-0.011682004,1
0.58455974,0.02754128,1
0.56389844,-0.005928844,1
0.578002,-0.0045732856,1
0.58578277,-0.030144483,1
0.54532206,-0.0016922653,1
0.58735657,-0.0129876435,1
0.6345763,-0.05055839,1
0.63011545,-0.041679293,1
0.5736267,-0.026997924,1
0.5472596,0.032897323,1
0.61323047,-0.030944437,1
0.61767125,0.05329287,1
0.5740607,0.06623688,1
0.6593516,0.009283066,1
0.64999723,0.00015425682,1
0.5051326,-0.0095047355,1
0.56070095,0.041137785,1
0.45372492,-0.05485508,1
0.45058635,-0.020474643,1
0.3518266,0.0052291155,1
0.39165598,-0.021889418,1
0.52245533,-0.004224479,1
0.3950867,0.01702556,1
0.6563997,-0.048828363,1
0.5867841,-0.040998787,1
0.7435474,-0.02191037,1
0.7180654,-0.059453815,1
0.7099558,-0.07935873,1
0.74130565,0.019050837,1
0.6538825,-0.093918264,1
0.7101995,-0.09733659,1
0.6326668,-0.04451871,1
0.660468,-0.063656986,1
0.66689163,-0.06951463,1
0.6558949,-0.042123348,1
0.6989603,-0.07567921,1
0.6925396,-0.10036999,1
0.6582202,-0.04013911,1
0.6492161,-0.053512454,1
0.64129716,-0.044056892,1
0.61119443,-0.03898123,1
0.6842848,-0.05443868,1
0.64435035,-0.04018548,1
0.6963445,-0.085704476,1
0.6594087,-0.06700638,1
0.70631003,-0.056630343,1
0.7082087,-0.083037704,1
0.62968737,-0.027818203,1
0.7144059,-0.066144824,1
0.6968325,-0.07015377,1
0.66307306,-0.066768646,1
0.61589265,-0.062651515,1
0.69867325,-0.06930074,1
0.71388113,-0.057285547,1
0.7229502,-0.086598456,1
