Valence,Arousal,Expression
0.012625918,0.2412693,7
-0.19510654,0.2630489,0
0.061991032,0.20183602,1
0.11401574,0.18076973,1
0.035767503,0.22274028,7
0.05432807,0.21119536,1
0.054789823,0.22506136,1
-0.046827305,0.26818657,7
0.046445187,0.24296008,7
0.010441754,0.22902112,7
0.18667209,0.16791701,1
0.1458966,0.16421275,1
0.021175642,0.26908505,7
0.11922516,0.18851064,1
0.019104406,0.26535797,7
0.007379897,0.28082553,7
-0.02603883,0.29229265,7
-0.0570965,0.29020852,7
0.032755334,0.25026134,7
0.0038783178,0.2673148,7
0.14600956,0.19138132,1
0.072800465,0.2318366,1
0.2626863,0.14671177,1
0.17432974,0.17743133,1
0.18072918,0.15416478,1
0.2205571,0.14612235,1
0.17316833,0.16915879,1
0.13726477,0.16924748,1
0.20736569,0.13524191,1
0.17246407,0.14769334,1
0.19704115,0.15713535,1
0.29446813,0.12354471,1
0.06532027,0.22800438,1
0.110561445,0.2082679,1
-0.033317473,0.28122228,7
0.04578384,0.24346727,1
0.1014535,0.21193041,1
0.024386395,0.24964936,7
0.05455657,0.21512756,7
0.12492949,0.22514914,1
0.022253493,0.21485451,7
-0.13092978,0.30249947,7
0.0067120194,0.21519858,7
-0.12948108,0.30466232,7
0.06773483,0.19044763,1
0.03710139,0.20732045,7
0.0031814724,0.22028132,7
0.0665303,0.20411637,1
0.02775654,0.20050505,1
-0.0796445,0.26433104,7
0.03997403,0.19729125,1
0.0043221265,0.24020326,7
-0.0066677667,0.24406905,7
-0.10278432,0.2916445,7
0.07943414,0.1776884,1
-0.018918652,0.23282276,7
0.0019726641,0.2353606,7
0.072937384,0.20424671,1
-0.13389689,0.30233216,7
-0.15598845,0.31669006,7
-0.056100253,0.29161668,7
-0.08511248,0.291807,7
-0.0670436,0.2822489,7
-0.020347018,0.2514948,7
-0.08097926,0.28758657,7
-0.01059426,0.24903482,7
-0.17253208,0.3352022,7
-0.11883807,0.30973917,7
-0.13463394,0.3089523,7
-0.16119601,0.320891,7
-0.058559176,0.26588273,7
-0.13971743,0.30053502,7
-0.03231323,0.25438774,7
0.058732104,0.21204337,1
-0.007304158,0.21847615,7
0.029332597,0.21427089,7
0.06434174,0.18296897,1
-0.026001755,0.24367319,7
0.055237032,0.20022453,1
-0.008555565,0.22063166,7
0.04857163,0.21069548,1
0.014466554,0.2170285,7
-0.060395878,0.2603261,7
-0.040868495,0.25075352,7
-0.019405857,0.2418551,7
-0.092493206,0.28628767,7
-0.15031886,0.3160625,7
-0.007846776,0.24865901,7
-0.059062745,0.25714868,7
0.0045720264,0.2382856,7
-0.15632796,0.31289744,7
-0.02520274,0.23571128,7
-0.048048858,0.25849304,7
-0.12222347,0.31023967,7
-0.061351564,0.25526878,7
-0.099236876,0.29012764,7
-0.024137665,0.22401589,7
-0.05078494,0.25818428,7
-0.07720177,0.26429355,7
-0.045672912,0.25416732,7
-0.061351564,0.25526878,7
-0.099236876,0.29012764,7
-0.024137665,0.22401589,7
-0.05078494,0.25818428,7
-0.07720177,0.26429355,7
-0.045672912,0.25416732,7
-0.061351564,0.25526878,7
-0.099236876,0.29012764,7
-0.024137665,0.22401589,7
-0.05078494,0.25818428,7
-0.07720177,0.26429355,7
-0.045672912,0.25416732,7
-0.061351564,0.25526878,7
-0.099236876,0.29012764,7
-0.024137665,0.22401589,7
-0.05078494,0.25818428,7
-0.07720177,0.26429355,7
-0.045672912,0.25416732,7

